,symbol,sm_name,desc,an_dt,t_date,open,adj_close,intraday_return
2717,GREENPANEL,Greenpanel Industries Limited,Record Date,2022-01-24 15:37:37,2022-01-25 15:37:37,448.0,476.45,6.350446428571426
2718,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Record Date,2022-01-24 15:19:16,2022-01-25 15:19:16,435.0,425.08,-2.280459770114946
2720,KSOLVES,Ksolves India Limited,Record Date,2022-01-23 18:43:13,2022-01-24 18:43:13,370.1,318.05,-14.063766549581196
2721,ESSENTIA,Integra Essentia Limited,Record Date,2022-01-22 20:51:42,2022-01-23 20:51:42,0.83,0.83,0.0
2725,SHAREINDIA,Share India Securities Limited,Record Date,2022-01-21 16:30:21,2022-01-22 16:30:21,1282.0,1193.85,-6.875975039001567
2726,WENDT,Wendt (India) Limited,Record Date,2022-01-21 15:55:34,2022-01-22 15:55:34,5136.0,4815.86,-6.2332554517134025
2732,CONCOR,Container Corporation of India Limited,Record Date,2022-01-20 19:14:50,2022-01-21 19:14:50,661.95,602.4,-8.996147745297993
2733,SIYSIL,Siyaram Silk Mills Limited,Record Date,2022-01-20 18:47:52,2022-01-21 18:47:52,449.0,421.19,-6.193763919821826
2734,MASTEK,Mastek Limited,Record Date,2022-01-20 15:23:41,2022-01-21 15:23:41,2844.85,2786.95,-2.035256691916976
2738,TCIEXP,TCI Express Limited,Record Date,2022-01-19 17:43:09,2022-01-20 17:43:09,2205.0,2166.47,-1.747392290249442
2739,CCL,CCL Products (India) Limited,Record Date,2022-01-19 15:51:02,2022-01-20 15:51:02,440.4,434.74,-1.285195277020883
2743,SYMPHONY,Symphony Limited,Record Date,2022-01-18 17:30:17,2022-01-19 17:30:17,1059.0,1036.89,-2.087818696883843
2744,COSMOFIRST,COSMO FIRST LIMITED,Record Date,2022-01-18 17:18:06,2022-01-19 17:18:06,1107.17,1109.68,0.22670411951190791
2745,PAGEIND,Page Industries Limited,Record Date,2022-01-18 16:08:02,2022-01-19 16:08:02,43799.9,42802.18,-2.277904744074761
2746,RKFORGE,Ramkrishna Forgings Limited,Record Date,2022-01-18 15:34:07,2022-01-19 15:34:07,1015.9,1021.09,0.5108770548282365
2747,IIFL,IIFL Finance Limited,Record Date,2022-01-17 21:15:51,2022-01-18 21:15:51,316.7,296.05,-6.520366277233968
2748,THANGAMAYL,Thangamayil Jewellery Limited,Record Date,2022-01-17 19:05:54,2022-01-18 19:05:54,707.5,659.32,-6.809893992932855
2749,VIKASECO,Vikas EcoTech Limited,Record Date,2022-01-17 18:38:55,2022-01-18 18:38:55,4.85,4.85,0.0
2750,ANGELONE,Angel One Limited,Record Date,2022-01-17 18:38:43,2022-01-18 18:38:43,1399.4,1309.19,-6.446334143204233
2751,IIFLSEC,IIFL Securities Limited,Record Date,2022-01-17 18:02:22,2022-01-18 18:02:22,100.8,90.06,-10.6547619047619
2752,SCHAEFFLER,Schaeffler India Limited,Record Date,2022-01-17 18:00:28,2022-01-18 18:00:28,1940.0,1833.37,-5.496391752577325
2753,PERSISTENT,Persistent Systems Limited,Record Date,2022-01-17 16:32:06,2022-01-18 16:32:06,4352.1,4262.79,-2.0521127731440085
2754,AAKASH,Aakash Exploration Services Limited,Record Date,2022-01-17 16:26:55,2022-01-18 16:26:55,27.3,26.66,-2.344322344322346
2755,IBREALEST,Indiabulls Real Estate Limited,Record Date,2022-01-17 16:02:08,2022-01-18 16:02:08,168.0,163.35,-2.7678571428571463
2760,LAGNAM,Lagnam Spintex Limited,Record Date,2022-01-15 19:47:11,2022-01-16 19:47:11,90.45,89.31,-1.2603648424543952
2761,HCLTECH,HCL Technologies Limited,Record Date,2022-01-14 18:31:21,2022-01-15 18:31:21,1273.0,1132.77,-11.015710919088768
2765,WIPRO,Wipro Limited,Record Date,2022-01-12 15:56:48,2022-01-13 15:56:48,663.2,640.39,-3.4393848009650267
2766,ESSENTIA,Integra Essentia Limited,Record Date,2022-01-11 17:30:42,2022-01-12 17:30:42,0.79,0.79,0.0
2767,MARICO,Marico Limited,Record Date,2022-01-11 16:23:04,2022-01-12 16:23:04,508.2,490.57,-3.469106650924832
2770,IBREALEST,Indiabulls Real Estate Limited,Record Date,2022-01-10 20:41:30,2022-01-11 20:41:30,171.95,171.65,-0.17446932247745447
2774,NAUKRI,Info Edge (India) Limited,Record Date,2022-01-07 20:11:18,2022-01-08 20:11:18,5634.65,5506.49,-2.274497972367403
2775,HGS,Hinduja Global Solutions Limited,Record Date,2022-01-06 23:23:18,2022-01-07 23:23:18,1428.5,1307.86,-8.445222261113063
2776,DCI,DC Infotech and Communication Limited,Record Date,2022-01-06 18:14:24,2022-01-07 18:14:24,48.0,48.0,0.0
2777,ANANDRATHI,Anand Rathi Wealth Limited,Record Date,2022-01-06 18:00:04,2022-01-07 18:00:04,646.0,597.89,-7.4473684210526345
2778,MOTHERSON,Samvardhana Motherson International Limited,Record Date,2022-01-04 21:43:20,2022-01-05 21:43:20,92.58,90.74,-1.9874702959602544
2779,ZENSARTECH,Zensar Technologies Limited,Record Date,2022-01-04 17:11:59,2022-01-05 17:11:59,521.45,502.67,-3.601495828938542
2781,RAILTEL,Railtel Corporation Of India Limited,Record Date,2022-01-03 18:27:19,2022-01-04 18:27:19,119.5,114.17,-4.460251046025102
2786,TCS,Tata Consultancy Services Limited,Record Date,2021-12-31 16:34:27,2022-01-01 16:34:27,3750.0,3628.08,-3.251200000000002
2789,SDBL,Som Distilleries & Breweries Limited,Record Date,2021-12-27 18:54:28,2021-12-28 18:54:28,41.55,41.73,0.433212996389891
2790,GDL,Gateway Distriparks Limited,Record Date,2021-12-27 18:14:02,2021-12-28 18:14:02,0.0,0.0,0.0
2791,HCLTECH,HCL Technologies Limited,Record Date,2021-12-24 16:16:55,2021-12-25 16:16:55,1268.0,1140.37,-10.06545741324922
2793,RPPINFRA,R.P.P. Infra Projects Limited,Record Date,2021-12-22 18:20:23,2021-12-23 18:20:23,54.5,54.6,0.1834862385321127
2794,MANGTIMBER,Mangalam Timber Products Limited,Record Date,2021-12-21 21:40:25,2021-12-22 21:40:25,0.0,0.0,0.0
2795,MOIL,MOIL Limited,Record Date,2021-12-21 17:37:20,2021-12-22 17:37:20,177.0,167.57,-5.327683615819213
2796,URJA,Urja Global Limited,Record Date,2021-12-20 16:09:31,2021-12-21 16:09:31,14.2,14.2,0.0
2797,GAIL,GAIL (India) Limited,Record Date,2021-12-17 16:53:31,2021-12-18 16:53:31,86.33,73.07,-15.359666396385967
2798,VCL,Vaxtex Cotfab Limited,Record Date,2021-12-16 20:43:06,2021-12-17 20:43:06,0.0,0.0,0.0
2799,ONEPOINT,One Point One Solutions Limited,Record Date,2021-12-16 17:14:55,2021-12-17 17:14:55,10.93,10.43,-4.574565416285453
2802,VEDL,Vedanta Limited,Record Date,2021-12-13 16:51:47,2021-12-14 16:51:47,357.5,216.01,-39.577622377622376
2803,PRECWIRE,Precision Wires India Limited,Record Date,2021-12-13 15:53:52,2021-12-14 15:53:52,42.67,46.08,7.991563159128185
2805,POWERGRID,Power Grid Corporation of India Limited,Record Date,2021-12-10 17:25:51,2021-12-11 17:25:51,154.12,128.4,-16.688294835193357
2807,BCG,Brightcom Group Limited,Record Date,2021-12-10 01:01:49,2021-12-10 01:01:49,160.7,157.68,-1.879278158058483
2808,GODHA,Godha Cabcon & Insulation Limited,Record Date,2021-12-09 16:32:03,2021-12-10 16:32:03,3.255,3.25,-0.1536098310291826
2809,NEOGEN,Neogen Chemicals Limited,Record Date,2021-12-08 20:33:01,2021-12-09 20:33:01,1758.0,1695.57,-3.5511945392491504
2811,NMDC,NMDC Limited,Record Date,2021-12-03 18:13:29,2021-12-04 18:13:29,145.0,122.16,-15.751724137931038
2812,HINDZINC,Hindustan Zinc Limited,Record Date,2021-12-02 21:07:04,2021-12-03 21:07:04,345.1,249.08,-27.823819182845554
2813,WEIZMANIND,Weizmann Limited,Record Date,2021-11-30 18:30:29,2021-12-01 18:30:29,54.5,52.57,-3.5412844036697244
2814,SILVERTUC,Silver Touch Technologies Limited,Record Date,2021-11-30 18:17:16,2021-12-01 18:17:16,144.55,155.52,7.58906952611553
2815,OAL,Oriental Aromatics Limited,Record Date,2021-11-30 15:50:43,2021-12-01 15:50:43,759.0,747.42,-1.5256916996047485
2818,TTL,T T Limited,Record Date,2021-11-25 16:08:30,2021-11-26 16:08:30,85.8,83.19,-3.041958041958041
2820,COALINDIA,Coal India Limited,Record Date,2021-11-23 15:31:31,2021-11-24 15:31:31,158.3,123.78,-21.806696146557176
